,timestamp,source host,destination,username
5,2022-02-02 01:40:00,comp 127,mac-234,Jessica Northern
148,2022-02-02 01:43:00,comp 327,Server-machine-641,Carolyn Mccage
291,2022-02-02 01:46:00,Mac-803,Server-machine-123,Eric Williams
434,2022-02-02 01:49:00,Mac-454,Server-machine-178,Jeanne Pizarro
77,2022-02-02 01:52:00,Server-machine-329,Server-machine-36,Nicholas Metzger
220,2022-02-02 01:55:00,srv-56,comp 471,Jose Caison
363,2022-02-02 01:58:00,srv-427,Server-machine-59,Clifford Jessen
6,2022-02-02 02:00:00,esx-452,Mac-490,Olive Abreu
149,2022-02-02 02:03:00,mac-720,comp 781,Delia Legra
292,2022-02-02 02:06:00,Comp 449,esx-291,David Musson
435,2022-02-02 02:09:00,Server-machine-449,Comp 694,Nathan Kaeo
78,2022-02-02 02:12:00,mac-742,Server-machine-384,Gary Wagner
221,2022-02-02 02:15:00,comp 560,Server-machine-606,Yvette Scott
364,2022-02-02 02:18:00,srv-432,server309,Paul Conder
7,2022-02-02 02:21:00,Comp 634,mac-796,Francis Dibenedetto
150,2022-02-02 02:24:00,Server-machine-424,server322,Lucius Harris
293,2022-02-02 02:26:00,srv-941,comp 255,Jody Latimore
436,2022-02-02 02:29:00,comp 646,Server-machine-478,Jimmy Cobar
79,2022-02-02 02:32:00,server978,Mac-915,Cassandra Gugler
222,2022-02-02 02:35:00,Mac-24,Comp 33,Socorro Frank
365,2022-02-02 02:38:00,Mac-293,srv-214,Alfredo Montoya
8,2022-02-02 02:41:00,esx-712,esx-23,William Johnson
151,2022-02-02 02:44:00,Server-machine-791,Comp 393,Carolyn Loth
294,2022-02-02 02:47:00,comp 321,esx-181,Kristen Glotfelty
437,2022-02-02 02:49:00,server485,mac-365,Garland Hawkins
80,2022-02-02 02:52:00,server849,server889,Mark Wilcher
223,2022-02-02 02:55:00,comp 823,srv-58,Geraldine Marriot
366,2022-02-02 02:58:00,server123,mac-415,Daniel Borges
9,2022-02-02 03:01:00,Mac-630,Mac-445,Ronald Frances
152,2022-02-02 03:04:00,Server-machine-150,srv-530,Guillermo Gardner
295,2022-02-02 03:07:00,comp 761,server526,Kathryn Williams
438,2022-02-02 03:10:00,comp 155,Server-machine-794,Melba Weeks
81,2022-02-02 03:12:00,Server-machine-27,Mac-801,Patricia Scott
224,2022-02-02 03:15:00,Server-machine-445,Comp 704,Benjamin Ott
367,2022-02-02 03:18:00,Comp 23,Server-machine-818,John Mitchell
10,2022-02-02 03:21:00,Comp 56,srv-257,Velma Vines
153,2022-02-02 03:24:00,srv-84,srv-913,Richard Lantz
296,2022-02-02 03:27:00,Mac-575,server476,Irene Schreyer
439,2022-02-02 03:30:00,Server-machine-632,srv-659,Shirley Mckinney
82,2022-02-02 03:33:00,mac-604,mac-189,Dominique Knight
225,2022-02-02 03:36:00,comp 44,Mac-82,Antonio Durkee
368,2022-02-02 03:38:00,Server-machine-700,mac-992,Margie Weber
11,2022-02-02 03:41:00,server646,comp 218,Sheena Olson
154,2022-02-02 03:44:00,Comp 318,comp 273,Matt Bartolini
297,2022-02-02 03:47:00,esx-451,Mac-304,Mary Burris
440,2022-02-02 03:50:00,server897,esx-226,Elizabeth Chase
83,2022-02-02 03:53:00,esx-857,srv-742,Lauren Tully
226,2022-02-02 03:56:00,esx-267,server328,Eddy Myers
369,2022-02-02 03:59:00,comp 19,mac-174,Francisco Dunn
12,2022-02-02 04:01:00,Server-machine-242,Mac-321,James Ray
155,2022-02-02 04:04:00,Mac-85,mac-441,Karen Noreen
298,2022-02-02 04:07:00,Server-machine-48,srv-355,James Tweed
441,2022-02-02 04:10:00,Server-machine-107,esx-755,Nikki Koster
84,2022-02-02 04:13:00,Comp 366,srv-995,Doris Equils
227,2022-02-02 04:16:00,Server-machine-148,esx-315,Manuel Robinson
370,2022-02-02 04:19:00,Mac-361,Comp 269,Kara Elmore
13,2022-02-02 04:22:00,Server-machine-761,comp 325,Thelma Estrada
156,2022-02-02 04:24:00,Comp 747,server448,Jenny Bailey
299,2022-02-02 04:27:00,srv-509,Server-machine-433,Charles Aiello
442,2022-02-02 04:30:00,Comp 780,Server-machine-80,Cora Davis
85,2022-02-02 04:33:00,server794,Mac-991,Cheryl Polaco
228,2022-02-02 04:36:00,esx-262,esx-655,Richard Layton
371,2022-02-02 04:39:00,mac-925,mac-167,Angie Parker
14,2022-02-02 04:42:00,mac-924,esx-829,Antonia West
157,2022-02-02 04:45:00,Comp 269,comp 303,Joseph Campbell
300,2022-02-02 04:48:00,server524,mac-399,Mark Aguilar
443,2022-02-02 04:50:00,server568,Comp 558,Marie Elliott
86,2022-02-02 04:53:00,srv-283,srv-637,Stacey Oneal
229,2022-02-02 04:56:00,Server-machine-814,Mac-63,Dorothy Milligan
372,2022-02-02 04:59:00,esx-736,esx-244,Janice Caudillo
15,2022-02-02 05:02:00,mac-839,mac-262,Tim Jones
158,2022-02-02 05:05:00,Mac-361,Comp 709,Linda Mancini
301,2022-02-02 05:08:00,Mac-21,Mac-883,Kenneth Moore
444,2022-02-02 05:11:00,Mac-644,mac-769,Jeffrey Sherratt
87,2022-02-02 05:13:00,Server-machine-448,srv-746,Karl Guzman
230,2022-02-02 05:16:00,Mac-391,server747,James Davis
373,2022-02-02 05:19:00,mac-287,Comp 161,Merle Crosten
16,2022-02-02 05:22:00,esx-445,Server-machine-230,Robert Jones
159,2022-02-02 05:25:00,comp 495,comp 946,Ernest Miller
302,2022-02-02 05:28:00,Server-machine-429,comp 479,Velma Hupper
445,2022-02-02 05:31:00,srv-283,srv-520,Chester Maranto
88,2022-02-02 05:34:00,Mac-377,Mac-780,Autumn Miller
231,2022-02-02 05:36:00,esx-253,mac-205,Louise North
374,2022-02-02 05:39:00,Mac-708,server70,Zachary Courville
17,2022-02-02 05:42:00,Mac-429,srv-55,Melvin Jung
160,2022-02-02 05:45:00,Server-machine-691,Mac-605,Jennifer Alvez
303,2022-02-02 05:48:00,mac-138,comp 786,Jennefer Salinas
446,2022-02-02 05:51:00,esx-976,esx-33,Roderick Anderson
89,2022-02-02 05:54:00,mac-801,server296,Sandra Dacey
232,2022-02-02 05:57:00,Mac-278,mac-942,Jamie Landau
375,2022-02-02 06:00:00,Server-machine-266,Server-machine-833,Paul Kearney
18,2022-02-02 06:02:00,Comp 606,Comp 366,Barbara Harris
161,2022-02-02 06:05:00,esx-668,mac-496,Manuel Ainsworth
304,2022-02-02 06:08:00,Comp 806,esx-640,Florentino Baze
447,2022-02-02 06:11:00,srv-373,Mac-316,Shantelle Flynn
90,2022-02-02 06:14:00,Mac-325,Server-machine-218,Carlos Vollstedt
233,2022-02-02 06:17:00,server838,mac-410,Jeff Diller
376,2022-02-02 06:20:00,Comp 394,esx-22,Chong Herman
19,2022-02-02 06:23:00,esx-981,Mac-69,George Dennison
162,2022-02-02 06:25:00,comp 221,server596,Nathan Gonnella
305,2022-02-02 06:28:00,esx-810,Server-machine-899,Polly Taylor
448,2022-02-02 06:31:00,Mac-754,Mac-658,Sheryl Mahn
91,2022-02-02 06:34:00,srv-320,srv-681,Alice Harrison
234,2022-02-02 06:37:00,srv-433,srv-144,Tina Benefiel
377,2022-02-02 06:40:00,srv-45,comp 584,Josette George
20,2022-02-02 06:43:00,Comp 920,mac-324,Brenda Jaramillo
163,2022-02-02 06:46:00,srv-824,comp 92,Mary Rodriguez
306,2022-02-02 06:48:00,Mac-146,comp 809,Cindy Mcgurk
449,2022-02-02 06:51:00,mac-161,Comp 866,Linda Wallack
92,2022-02-02 06:54:00,Comp 185,Server-machine-486,Brenda Johnston
235,2022-02-02 06:57:00,server585,Server-machine-843,Kyle Johnson
378,2022-02-02 07:00:00,srv-208,mac-905,Linda Beatty
21,2022-02-02 07:03:00,esx-670,Comp 961,Maria Roberson
164,2022-02-02 07:06:00,srv-813,mac-625,Heidi Faison
307,2022-02-02 07:09:00,Comp 135,mac-280,Sarah Turner
450,2022-02-02 07:12:00,esx-114,srv-393,Elizabeth Riley
93,2022-02-02 07:14:00,Server-machine-520,comp 116,Joseph Stevens
236,2022-02-02 07:17:00,Mac-500,esx-499,Jack Rosas
379,2022-02-02 07:20:00,srv-801,Comp 359,Frances Mayer
22,2022-02-02 07:23:00,Mac-899,Comp 380,Robert Callahan
165,2022-02-02 07:26:00,Server-machine-977,mac-591,Denise Oates
308,2022-02-02 07:29:00,Comp 535,mac-743,Wendi Scott
451,2022-02-02 07:32:00,srv-741,Mac-356,Joshua Johnson
94,2022-02-02 07:35:00,Server-machine-500,Comp 996,Janice Adams
237,2022-02-02 07:37:00,srv-354,Server-machine-299,Thomas Sloan
380,2022-02-02 07:40:00,Comp 550,Server-machine-828,Karen Granville
23,2022-02-02 07:43:00,srv-820,Server-machine-214,Racheal Medley
166,2022-02-02 07:46:00,esx-342,comp 146,Sally Martin
309,2022-02-02 07:49:00,comp 516,Server-machine-290,Eduardo Leven
452,2022-02-02 07:52:00,server638,mac-695,Pamela Tipler
95,2022-02-02 07:55:00,Server-machine-949,esx-150,Alden Vasquez
238,2022-02-02 07:58:00,Server-machine-504,comp 971,Andrew Navarrette
381,2022-02-02 08:00:00,Server-machine-931,server149,Deborah Robichaux
24,2022-02-02 08:03:00,mac-221,Comp 345,John Cortez
167,2022-02-02 08:06:00,srv-849,Mac-880,Pedro Alexander
310,2022-02-02 08:09:00,mac-337,mac-366,Bridget Frahm
453,2022-02-02 08:12:00,Server-machine-111,comp 623,Jeff Carolin
96,2022-02-02 08:15:00,Comp 852,Comp 425,Margie Avery
239,2022-02-02 08:18:00,server627,mac-615,Argelia Abraham
382,2022-02-02 08:21:00,esx-19,server585,Elizabeth Smith
25,2022-02-02 08:24:00,Comp 448,Comp 871,Margaret Ginsburg
168,2022-02-02 08:26:00,mac-354,esx-780,Russell Komorowski
311,2022-02-02 08:29:00,Comp 14,comp 861,Eric Feaster
454,2022-02-02 08:32:00,Comp 232,esx-387,John Deans
97,2022-02-02 08:35:00,Mac-942,esx-574,Brandy Sanchez
240,2022-02-02 08:38:00,Mac-953,Server-machine-655,Judith Bynum
383,2022-02-02 08:41:00,Mac-701,Comp 795,John Rosario
26,2022-02-02 08:44:00,esx-239,Mac-777,Richard Eggleston
169,2022-02-02 08:47:00,Mac-128,server308,Stephanie Rickard
312,2022-02-02 08:49:00,mac-629,srv-747,Michael Cantrell
455,2022-02-02 08:52:00,mac-196,Server-machine-798,Mark Bates
98,2022-02-02 08:55:00,Comp 63,srv-284,Martin Welch
241,2022-02-02 08:58:00,server129,Server-machine-173,Gregory Covington
384,2022-02-02 09:01:00,Mac-626,srv-329,May Driscoll
27,2022-02-02 09:04:00,Comp 830,server679,Ronald Robeson
170,2022-02-02 09:07:00,Comp 209,Mac-961,Dana Marrero
313,2022-02-02 09:10:00,srv-499,mac-918,Debbie Todd
456,2022-02-02 09:12:00,esx-24,Comp 198,Richard Kappler
99,2022-02-02 09:15:00,esx-71,comp 521,Billy Tucker
242,2022-02-02 09:18:00,server305,Server-machine-924,Jeffrey Martel
385,2022-02-02 09:21:00,srv-487,server754,Kristine Johnson
28,2022-02-02 09:24:00,mac-256,Mac-664,Eric Jackson
171,2022-02-02 09:27:00,srv-147,Comp 905,William Kizer
314,2022-02-02 09:30:00,Server-machine-500,comp 341,Mary Larson
457,2022-02-02 09:33:00,mac-313,srv-863,Sandra Ramirez
100,2022-02-02 09:36:00,Comp 871,mac-567,Laura Allison
243,2022-02-02 09:38:00,server57,Comp 102,Delores Mills
386,2022-02-02 09:41:00,comp 880,comp 532,Bernard Smiley
29,2022-02-02 09:44:00,comp 830,esx-425,Robert Caldwell
172,2022-02-02 09:47:00,comp 718,server392,Brian Therrien
315,2022-02-02 09:50:00,Mac-446,esx-80,Gregory Santiago
458,2022-02-02 09:53:00,Comp 311,Comp 612,May Haberman
101,2022-02-02 09:56:00,esx-730,srv-676,Fred Burns
244,2022-02-02 09:59:00,comp 348,comp 485,Deborah Nolte
387,2022-02-02 10:01:00,Server-machine-519,Mac-921,Thomas Sedlacek
30,2022-02-02 10:04:00,Comp 738,esx-18,Diana Williams
173,2022-02-02 10:07:00,esx-389,server77,Helen Barker
316,2022-02-02 10:10:00,mac-159,mac-723,Amanda Singletary
459,2022-02-02 10:13:00,srv-391,comp 646,Isabelle Anderson
102,2022-02-02 10:16:00,Comp 296,Comp 718,Virginia Evans
245,2022-02-02 10:19:00,Server-machine-893,Server-machine-792,Myrtle Keegan
388,2022-02-02 10:22:00,comp 563,Server-machine-439,Pamela Neal
31,2022-02-02 10:24:00,esx-587,mac-655,Robert Brown
174,2022-02-02 10:27:00,Comp 952,srv-943,Lashawna Fitzwater
317,2022-02-02 10:30:00,srv-800,Mac-527,Melinda Leinweber
460,2022-02-02 10:33:00,esx-451,esx-992,Cecil Garcia
103,2022-02-02 10:36:00,Server-machine-871,comp 920,Carol Worthington
246,2022-02-02 10:39:00,Mac-600,srv-145,William Cooksey
389,2022-02-02 10:42:00,Server-machine-362,Server-machine-624,Veronica Isabella
32,2022-02-02 10:45:00,Server-machine-55,esx-10,Meagan Gillespie
175,2022-02-02 10:48:00,mac-773,Server-machine-733,Carolyn Santos
318,2022-02-02 10:50:00,mac-22,comp 734,Marc Marble
461,2022-02-02 10:53:00,Server-machine-959,server202,Melvin Stevens
104,2022-02-02 10:56:00,Mac-427,srv-757,Roger Dodgen
247,2022-02-02 10:59:00,esx-100,mac-430,Joseph Wampler
390,2022-02-02 11:02:00,mac-508,Mac-115,Cristina Stith
33,2022-02-02 11:05:00,Server-machine-468,mac-631,Thomas Smith
176,2022-02-02 11:08:00,Server-machine-345,esx-563,Earl Wall
319,2022-02-02 11:11:00,esx-34,Server-machine-63,Betty Hopfensperger
462,2022-02-02 11:13:00,Server-machine-190,Mac-35,Harry Ezell
105,2022-02-02 11:16:00,Comp 892,server86,Natasha Lewis
248,2022-02-02 11:19:00,comp 677,mac-830,Mary Kalichman
391,2022-02-02 11:22:00,server706,Mac-861,Steven Kilgore
34,2022-02-02 11:25:00,Mac-483,esx-78,Walter Jacobs
177,2022-02-02 11:28:00,server199,mac-177,Justin Smith
320,2022-02-02 11:31:00,srv-601,server917,Grace Tate
463,2022-02-02 11:34:00,comp 345,esx-942,Harry Steinbeck
106,2022-02-02 11:36:00,srv-352,esx-750,Maurice Isham
249,2022-02-02 11:39:00,server357,comp 367,William Green
392,2022-02-02 11:42:00,mac-980,Mac-562,Juan Young
35,2022-02-02 11:45:00,server861,server105,Alvin Albert
178,2022-02-02 11:48:00,comp 11,Comp 62,Bryan Natonabah
321,2022-02-02 11:51:00,Mac-526,esx-980,William Wallace
464,2022-02-02 11:54:00,server646,srv-673,Andrew Pond
107,2022-02-02 11:57:00,Comp 358,srv-580,Jeffrey Eskridge
250,2022-02-02 12:00:00,Mac-181,mac-950,Michael Coy
393,2022-02-02 12:02:00,Comp 859,srv-307,Stephen Neilan
36,2022-02-02 12:05:00,Comp 787,srv-301,Lillian Bush
179,2022-02-02 12:08:00,Mac-530,server578,Patricia Kipp
322,2022-02-02 12:11:00,srv-894,Server-machine-789,Constance Devenport
465,2022-02-02 12:14:00,Server-machine-25,srv-615,Natasha Jobst
108,2022-02-02 12:17:00,server658,esx-287,Al Cobb
251,2022-02-02 12:20:00,esx-371,mac-975,Heather Marshall
394,2022-02-02 12:23:00,Server-machine-675,Comp 189,Lillian Denes
37,2022-02-02 12:25:00,mac-486,comp 401,Paul Brittain
180,2022-02-02 12:28:00,Mac-673,Mac-113,Matthew Ontiveros
323,2022-02-02 12:31:00,Server-machine-806,server382,Cecelia Demery
466,2022-02-02 12:34:00,mac-702,mac-837,Felipa Vance
109,2022-02-02 12:37:00,Server-machine-68,Server-machine-232,Pamela Gentes
252,2022-02-02 12:40:00,esx-328,Server-machine-75,James Hodges
395,2022-02-02 12:43:00,Mac-448,Mac-709,Joann Cole
38,2022-02-02 12:46:00,server476,server365,Daniel Elliott
181,2022-02-02 12:48:00,Mac-174,mac-161,Anthony Etsitty
324,2022-02-02 12:51:00,mac-701,server854,Donald Daniel
467,2022-02-02 12:54:00,srv-21,srv-146,Joseph Valenzuela
110,2022-02-02 12:57:00,Comp 917,srv-74,Lloyd Huntley
253,2022-02-02 13:00:00,server251,Comp 428,Joyce Koewler
396,2022-02-02 13:03:00,server709,srv-915,Delbert Adams
39,2022-02-02 13:06:00,srv-127,mac-835,Rhonda Beard
182,2022-02-02 13:09:00,Server-machine-229,Comp 13,Maureen Moore
325,2022-02-02 13:12:00,esx-766,esx-96,Terri Leon
468,2022-02-02 13:14:00,Comp 433,srv-914,Minnie Korando
111,2022-02-02 13:17:00,esx-497,comp 190,Jolene Strom
254,2022-02-02 13:20:00,mac-194,mac-78,Virginia Mulligan
397,2022-02-02 13:23:00,Comp 708,Mac-718,Maria Low
40,2022-02-02 13:26:00,comp 921,esx-357,Mary Longstreet
183,2022-02-02 13:29:00,mac-399,srv-804,Richard Conover
326,2022-02-02 13:32:00,esx-173,mac-260,Mark Maldonado
469,2022-02-02 13:35:00,Comp 755,esx-844,Deborah Mcalpin
112,2022-02-02 13:37:00,Comp 38,Mac-23,Michael Torres
255,2022-02-02 13:40:00,server605,mac-374,Winnie Wells
398,2022-02-02 13:43:00,Server-machine-365,Mac-687,Rhonda Morris
41,2022-02-02 13:46:00,server234,server938,Alison Smith
184,2022-02-02 13:49:00,comp 55,mac-133,Erica Clancy
327,2022-02-02 13:52:00,comp 822,server112,Gary Robinson
470,2022-02-02 13:55:00,mac-480,esx-387,Lisa Hatchett
113,2022-02-02 13:58:00,srv-460,Comp 831,Benjamin Holton
256,2022-02-02 14:00:00,esx-514,comp 197,Jay Vaccaro
399,2022-02-02 14:03:00,mac-835,esx-2,Alan Hinkle
42,2022-02-02 14:06:00,server733,comp 49,Shane Ainsworth
185,2022-02-02 14:09:00,Server-machine-802,mac-926,Adam Ceja
328,2022-02-02 14:12:00,Server-machine-858,Mac-92,Shannon Westbrook
471,2022-02-02 14:15:00,Comp 319,Server-machine-830,George Young
114,2022-02-02 14:18:00,Mac-699,Server-machine-572,Dorothy Yockers
257,2022-02-02 14:21:00,esx-35,Server-machine-377,Timothy Harvey
400,2022-02-02 14:24:00,esx-812,srv-103,Madeline Waldon
43,2022-02-02 14:26:00,Comp 829,mac-741,Laura Castro
186,2022-02-02 14:29:00,Comp 928,comp 58,Herbert Nordstrom
329,2022-02-02 14:32:00,server370,mac-823,Gail Morales
472,2022-02-02 14:35:00,Server-machine-264,server726,Taylor Oneal
115,2022-02-02 14:38:00,esx-561,srv-608,Connie Boyer
258,2022-02-02 14:41:00,Comp 423,server964,Shawn Clark
401,2022-02-02 14:44:00,comp 916,Server-machine-23,Shannon Bilder
44,2022-02-02 14:47:00,Comp 105,mac-936,Mary Edmonds
187,2022-02-02 14:49:00,esx-948,Comp 261,Robert Swan
330,2022-02-02 14:52:00,srv-384,server767,Hazel Frezzo
473,2022-02-02 14:55:00,mac-366,srv-270,Bruce Davenport
116,2022-02-02 14:58:00,comp 97,comp 398,Joanne Yowell
259,2022-02-02 15:01:00,Server-machine-982,mac-739,Kenneth Boscio
402,2022-02-02 15:04:00,mac-481,esx-136,Elizabeth Clemmer
45,2022-02-02 15:07:00,esx-796,server562,Gregory Zanola
188,2022-02-02 15:10:00,Comp 495,Comp 293,Jame Smith
331,2022-02-02 15:12:00,Comp 869,Comp 159,Justin Lopez
474,2022-02-02 15:15:00,Mac-793,server755,Evita Turner
117,2022-02-02 15:18:00,Mac-157,srv-360,Ruby Mackiewicz
260,2022-02-02 15:21:00,srv-848,comp 198,Eric Schultz
403,2022-02-02 15:24:00,Server-machine-753,esx-808,Stephan King
46,2022-02-02 15:27:00,Mac-145,comp 548,Leah Benton
189,2022-02-02 15:30:00,esx-413,comp 469,Graciela Miller
332,2022-02-02 15:33:00,Server-machine-237,mac-900,Rachelle Himes
475,2022-02-02 15:36:00,comp 726,comp 591,Edward Batte
118,2022-02-02 15:38:00,Server-machine-300,Mac-227,Tuan Keiser
261,2022-02-02 15:41:00,Comp 827,comp 358,Mable Wilson
404,2022-02-02 15:44:00,comp 472,server670,Gary Sherman
47,2022-02-02 15:47:00,Comp 82,esx-607,Eleanor Edward
190,2022-02-02 15:50:00,esx-152,Mac-41,Nicole Favreau
333,2022-02-02 15:53:00,Mac-654,mac-693,Jeffrey Long
476,2022-02-02 15:56:00,esx-937,esx-997,Michael Sherman
119,2022-02-02 15:59:00,comp 728,Server-machine-57,Larry Bridgeman
262,2022-02-02 16:01:00,mac-2,server970,Nina Larsen
405,2022-02-02 16:04:00,Mac-793,esx-289,David Johnson
48,2022-02-02 16:07:00,Server-machine-795,comp 203,Willard Endres
191,2022-02-02 16:10:00,mac-643,comp 858,Eleni Martz
334,2022-02-02 16:13:00,esx-689,comp 921,Faye Bohn
477,2022-02-02 16:16:00,esx-765,esx-589,Deanne Brown
120,2022-02-02 16:19:00,Comp 668,srv-477,Regina Vanicek
263,2022-02-02 16:22:00,server412,server677,Jamie Sullivan
406,2022-02-02 16:24:00,comp 581,Mac-535,Randall Clayton
49,2022-02-02 16:27:00,Server-machine-395,server592,Karen Blanton
192,2022-02-02 16:30:00,Server-machine-646,comp 993,Shirley Beard
335,2022-02-02 16:33:00,esx-452,mac-915,Lauren Waters
478,2022-02-02 16:36:00,srv-812,server67,Suzanne Shurman
121,2022-02-02 16:39:00,server893,mac-649,Maryann Peterson
264,2022-02-02 16:42:00,comp 270,server972,Jean Garner
407,2022-02-02 16:45:00,comp 839,srv-89,Henry Conroy
50,2022-02-02 16:48:00,Comp 112,esx-823,Nicole Deloy
193,2022-02-02 16:50:00,mac-871,esx-422,Kenneth Spagnuolo
336,2022-02-02 16:53:00,server771,comp 499,Monica Huddleston
479,2022-02-02 16:56:00,Server-machine-786,mac-287,John Carroll
122,2022-02-02 16:59:00,Mac-639,Server-machine-921,Grant Harrison
265,2022-02-02 17:02:00,srv-179,mac-861,Manuel Austin
408,2022-02-02 17:05:00,Server-machine-713,Server-machine-303,Linda Laurent
51,2022-02-02 17:08:00,srv-59,comp 523,Jeanne Pal
194,2022-02-02 17:11:00,server404,comp 581,Christine Zambelli
337,2022-02-02 17:13:00,Server-machine-834,Comp 682,Carrie Kirkwood
480,2022-02-02 17:16:00,Server-machine-306,comp 822,Frank George
123,2022-02-02 17:19:00,Comp 872,mac-899,Janice Nielsen
266,2022-02-02 17:22:00,mac-467,Server-machine-395,Harold Aragon
409,2022-02-02 17:25:00,Server-machine-318,server57,Donald Johnson
52,2022-02-02 17:28:00,Mac-4,Comp 290,Nick Cox
195,2022-02-02 17:31:00,srv-468,server405,Matthew Sosa
338,2022-02-02 17:34:00,server30,srv-569,Janice Cook
481,2022-02-02 17:36:00,esx-108,Comp 500,Albert Waddell
124,2022-02-02 17:39:00,Mac-837,srv-971,Bobbie Rooker
267,2022-02-02 17:42:00,server626,srv-778,Omer Garcia
410,2022-02-02 17:45:00,Mac-533,Mac-706,Patricia Gonzales
53,2022-02-02 17:48:00,mac-480,Server-machine-373,Lisa Bevington
196,2022-02-02 17:51:00,srv-347,esx-39,Daniel Mitchell
339,2022-02-02 17:54:00,server572,Mac-222,Deborah Bravo
482,2022-02-02 17:57:00,mac-320,Server-machine-675,Roberto Spearman
125,2022-02-02 18:00:00,esx-174,srv-887,Lillie Bromley
268,2022-02-02 18:02:00,Server-machine-639,Mac-161,Rayford Neal
411,2022-02-02 18:05:00,mac-884,srv-759,Brandi Weber
54,2022-02-02 18:08:00,comp 292,mac-883,Rosella Pacheco
197,2022-02-02 18:11:00,mac-538,server979,Anna Palmer
340,2022-02-02 18:14:00,server979,comp 647,Cecelia Dickerson
483,2022-02-02 18:17:00,comp 818,esx-780,Stephanie Holman
126,2022-02-02 18:20:00,Comp 51,server348,Velma Whitney
269,2022-02-02 18:23:00,srv-217,server55,Estela Scarbrough
412,2022-02-02 18:25:00,comp 74,srv-434,Johanna Valenti
55,2022-02-02 18:28:00,Mac-914,Server-machine-826,Robert Sharpe
198,2022-02-02 18:31:00,server483,mac-490,Lisa Harrison
341,2022-02-02 18:34:00,comp 952,Mac-244,Ann Grant
484,2022-02-02 18:37:00,Mac-704,Comp 977,Carrie Cernota
127,2022-02-02 18:40:00,Mac-586,Mac-249,Charles Jarman
270,2022-02-02 18:43:00,Server-machine-620,Server-machine-998,Rodney Mcalister
413,2022-02-02 18:46:00,Comp 326,esx-539,Maureen Giampietro
56,2022-02-02 18:48:00,esx-456,Comp 902,Thomas Williams
199,2022-02-02 18:51:00,mac-271,Mac-9,Chad Muzquiz
342,2022-02-02 18:54:00,Mac-474,Comp 921,Miriam Schultz
485,2022-02-02 18:57:00,esx-836,Mac-894,Cynthia Lindsey
128,2022-02-02 19:00:00,comp 20,Comp 924,Bobby Jackson
271,2022-02-02 19:03:00,server515,server430,Michael Schacht
414,2022-02-02 19:06:00,Comp 22,srv-583,James Robinson
57,2022-02-02 19:09:00,mac-678,Server-machine-191,Nathan Mills
200,2022-02-02 19:12:00,comp 333,comp 922,Brian Fernandez
343,2022-02-02 19:14:00,esx-820,comp 532,Kevin Rogillio
486,2022-02-02 19:17:00,Mac-960,comp 579,Jeffrey Ehrhart
129,2022-02-02 19:20:00,mac-429,server33,Twila Frick
272,2022-02-02 19:23:00,mac-655,Mac-992,Rita Nelson
415,2022-02-02 19:26:00,Mac-729,Mac-778,Thomas Mackenzie
